Arquivo,Verdadeiro,Predito,classico,jazz,rap,rock,samba,Mais_proximo,Dist_min
03 - Overture ((Lone Ranger)).flac,classico,classico,2.5551768287463967,4.069214811652594,5.748162114495165,4.9251165042838165,2.981117416391878,classico,2.5551768287463967
Igor Levit - II. Andante.flac,classico,classico,4.4095072407856915,5.328837398037482,6.665791046985304,6.1722303067456155,6.512692926266297,classico,4.4095072407856915
Fazil Say - I. Allegro.flac,classico,classico,2.2860410952779393,4.002646313431756,5.621710168233853,5.016528163266966,5.2230982109148805,classico,2.2860410952779393
02 - 4. In The Hall Of The Mountain King ((Alton Towers)).flac,classico,jazz,6.186957017129797,4.990969429180644,5.275144181814159,5.292724513894312,9.124913643498179,jazz,4.990969429180644
Nelson Freire - 1. Overture.flac,classico,classico,2.0318443566060127,5.01108004703113,6.433247680357106,5.643241670596209,4.245417779961715,classico,2.0318443566060127
Miles Davis - John McLaughlin.flac,jazz,jazz,4.27820490771916,2.458386731773962,3.3261412298195716,3.380324894997643,4.149184592329736,jazz,2.458386731773962
Duke Ellington - In A Sentimental Mood.flac,jazz,jazz,3.085037691565517,2.956589982388543,4.137853376995878,4.064042988875939,3.378723856292229,jazz,2.956589982388543
Miles Davis - Spanish Key.flac,jazz,rap,5.7682590319552585,3.4771218796223384,2.2334428452458144,2.6781777938110225,6.990262063492699,rap,2.2334428452458144
Ella Fitzgerald - Cheek To Cheek.flac,jazz,jazz,4.169324808539671,2.8681750964787707,3.500837123842837,3.1525078450999464,5.475318804897157,jazz,2.8681750964787707
Miles Davis - Flamenco Sketches.flac,jazz,jazz,6.214270018756336,4.191443737820873,4.517454335701338,5.12952436862905,8.460945830300076,jazz,4.191443737820873
13 - I Ain't Mad At Cha.flac,rap,rap,4.453181997610114,2.387628332130744,1.2671977506421568,1.5362930033546256,5.400964055792225,rap,1.2671977506421568
04 - $100 Dollar Bill Y'all.flac,rap,jazz,5.204405822912419,2.6843097289869595,2.855517599019757,3.394503521240465,5.44716530344543,jazz,2.6843097289869595
12 - High Powered.flac,rap,rap,6.096095804097911,3.6642133275187097,2.4636509130573887,3.4939694194307367,7.160526197544065,rap,2.4636509130573887
12 - California Love (Remix).flac,rap,rap,6.98930089106729,4.40057818196103,3.4336940936262907,3.9580063270263603,7.709073725730092,rap,3.4336940936262907
2Pac - Can't C Me.flac,rap,rap,6.079838645478786,3.397220313844016,2.217978739679593,3.3022932169871693,6.987383950895319,rap,2.217978739679593
09 - November Has Come (featuring DOOM).flac,rock,rap,6.791443710933924,4.379197331034359,3.2896982639107994,4.44346075557529,8.272578568944073,rap,3.2896982639107994
DIIV - Air Conditioning.flac,rock,rock,4.54604635388157,3.8756230676255177,2.9973013207716503,1.9799275555616074,5.812267370466016,rock,1.9799275555616074
DIIV - (Druun).flac,rock,rock,5.3774058588648765,4.39807254209432,3.5379323066130057,2.7225694820731854,6.391477339025057,rock,2.7225694820731854
05 - I Want It All.flac,rock,rap,7.073463014199945,5.373701899784756,3.5129742362731418,3.6254161842874244,8.415071224124224,rap,3.5129742362731418
08 - Not The Same Anymore.flac,rock,rock,2.997356176869366,2.6740037893187,3.598057090467953,2.6091535958902594,3.339263933722292,rock,2.6091535958902594
Arlindo Cruz - A Rosa - Flor Que Não Se Cheira.flac,samba,jazz,3.48082243991627,2.6724620063621405,3.260861783557877,3.0906042917234156,3.4799257687621385,jazz,2.6724620063621405
12 - Sem Segredo _ Amor Dos Deuses.flac,samba,samba,3.264641407544151,2.9753241570351605,4.030741655515872,3.779129888929479,2.0777258782551424,samba,2.0777258782551424
06 - Baiana Serrana _ Serei Teu Ioio _ Vem Menina Moça.flac,samba,rock,4.317307123562149,3.1436269400044345,2.6553111302079113,2.3668457467354758,4.1470776945227295,rock,2.3668457467354758
12 - Velocidade da Luz.flac,samba,jazz,2.9631103322748493,2.405786203719228,3.9320267826584048,3.8537834135547415,2.4671705312756433,jazz,2.405786203719228
06 - Novos Tempos.flac,samba,samba,4.150846895567924,3.0567886733987666,4.805574002920005,4.882396235484548,3.036364143216443,samba,3.036364143216443
